TicketID,Subject,Status,Priority,Category,Group,AssignedTo,CreatedDate,AgingDays,DueDate,SLABreached
10001,Support request #10001,Pending,Medium,Vacation Rentals,Maintenance Work Orders,Mike Torres,2026-06-02,4,2026-06-09,No
10002,Support request #10002,Open,Low,HOA Management,Maintenance Work Orders,Sarah Johnson,2026-05-23,14,2026-06-06,No
10003,Support request #10003,Open,Medium,Vacation Rentals,Cleaning Request/Issues,Mike Torres,2026-06-01,5,2026-06-08,No
10004,Support request #10004,Open,Medium,HOA Management,Cleaning Request/Issues,Beth Roberts,2026-06-02,4,2026-06-09,No
10005,Support request #10005,Open,Medium,HOA Management,Cleaning Request/Issues,Lisa Chen,2026-04-13,54,2026-04-20,Yes
10006,Support request #10006,Open,High,Vacation Rentals,Maintenance Work Orders,Beth Roberts,2026-06-05,1,2026-06-10,No
10007,Support request #10007,Open,Medium,Annual Rentals,Cleaning Request/Issues,Sarah Johnson,2026-05-01,36,2026-05-08,Yes
10008,Support request #10008,Open,Low,Annual Rentals,Cleaning Request/Issues,Amy Williams,2026-05-24,13,2026-06-07,No
10009,Support request #10009,Open,Low,HOA Management,Maintenance Work Orders,Sarah Johnson,2026-05-31,6,2026-06-14,No
10010,Support request #10010,Open,Urgent,Annual Rentals,Cleaning Request/Issues,Beth Roberts,2026-04-18,49,2026-04-21,Yes
10011,Support request #10011,Open,Medium,HOA Management,Cleaning Request/Issues,Sarah Johnson,2026-04-20,47,2026-04-27,Yes
10012,Support request #10012,Open,Low,Vacation Rentals,Maintenance Work Orders,Mike Torres,2026-05-07,30,2026-05-21,Yes
10013,Support request #10013,Open,High,HOA Management,Cleaning Request/Issues,Lisa Chen,2026-04-18,49,2026-04-23,Yes
10014,Support request #10014,Open,Low,Annual Rentals,Cleaning Request/Issues,Beth Roberts,2026-04-21,46,2026-05-05,Yes
10015,Support request #10015,Open,High,HOA Management,Cleaning Request/Issues,Mike Torres,2026-03-15,83,2026-03-20,Yes
10016,Support request #10016,Open,Medium,Annual Rentals,Cleaning Request/Issues,Lisa Chen,2026-05-05,32,2026-05-12,Yes
10017,Support request #10017,Open,Urgent,Vacation Rentals,Maintenance Work Orders,Beth Roberts,2026-03-16,82,2026-03-19,Yes
10018,Support request #10018,Open,Medium,Vacation Rentals,Cleaning Request/Issues,Lisa Chen,2026-05-29,8,2026-06-05,Yes
10019,Support request #10019,Open,Medium,HOA Management,Cleaning Request/Issues,Beth Roberts,2026-05-28,9,2026-06-04,Yes
