"WO #",Unit,"Unit Zone","Property Group",Creation,Activation,"Expected Completion",Closed,"Block Type","Block Start","Block End",Title,Vendor,Operator,Priority,"Show in Owner Area","Charge Type",Status,"Unit Status",Age,Originator,Processor
42048142,"Dreams Of Paradise",,"Northern Portfolio","08/27/26 05:19 pm",,,N/A,"Not Blocked", , ,kitchen,N/A,N/A,N/A,No,"No Charge",Pending,"Pending Inspection",0,"Maintenance App","Santana Angel"
42047995,"Dreams Of Paradise",,"Northern Portfolio","08/27/26 05:05 pm",,,N/A,"Not Blocked", , ,kitchen,N/A,N/A,N/A,No,"No Charge",Pending,"Pending Inspection",0,"Maintenance App","Santana Angel"
42047820,"Dreams Of Paradise",,"Northern Portfolio","08/27/26 04:50 pm",,,N/A,"Not Blocked", , ,"Guest bedroom",N/A,N/A,N/A,No,"No Charge",Pending,"Pending Inspection",0,"Maintenance App","Santana Angel"
42047657,"Dreams Of Paradise",,"Northern Portfolio","08/27/26 04:38 pm",,,N/A,"Not Blocked", , ,"Front yard",N/A,N/A,N/A,No,"No Charge",Pending,"Pending Inspection",0,"Maintenance App","Santana Angel"
42047514,"Dreams Of Paradise",,"Northern Portfolio","08/27/26 04:31 pm",,,N/A,"Not Blocked", , ,pool,N/A,N/A,N/A,No,"No Charge",Pending,"Pending Inspection",0,"Maintenance App","Santana Angel"
42047451,"Putt in Paradise",,"Northern Portfolio","08/27/26 04:29 pm","08/27/26 04:29 pm",08/27/26,N/A,"Not Blocked", , ,"lynx lock install","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,"Pending Inspection",0,Management,"McNamara Heather"
42047286,"Dreams Of Paradise",,"Northern Portfolio","08/27/26 04:23 pm",,,N/A,"Not Blocked", , ,pool,N/A,N/A,N/A,No,"No Charge",Pending,"Pending Inspection",0,"Maintenance App","Santana Angel"
42045577,"Day Dreamer",,"Northern Portfolio","08/27/26 02:40 pm","08/27/26 02:40 pm",08/27/26,N/A,"Not Blocked", , ,"Living room TV/ Fridge filter","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,0,Management,"McNamara Heather"
42043165-2C2,"Sandalfoot 2C2",,Sandalfoot,"08/27/26 12:52 pm","08/27/26 12:52 pm",,N/A,"Not Blocked", , ,"curtain and rod install and Chandlier height adjusted","Sandalfoot On-Site Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,0,Management,"Dallman Autumn"
42042825,"Glorious Golfers",,Seasonal,"08/27/26 12:31 pm","08/27/26 12:31 pm",08/27/26,N/A,"Not Blocked", , ,"lynx lock","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,0,Management,"McNamara Heather"
42042817,Patsgang,,"Northern Portfolio","08/27/26 12:31 pm","08/27/26 12:31 pm",08/27/26,N/A,"Not Blocked", , ,"lynx lock","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,0,Management,"McNamara Heather"
42042809,"My Great Escape",,"Northern Portfolio","08/27/26 12:30 pm","08/27/26 12:30 pm",08/27/26,N/A,"Not Blocked", , ,"lynx lock","Gulf Coast - Commission",N/A,N/A,No,"No Charge",Active,Occupied,0,Management,"McNamara Heather"
42042390,"Sunny Life",,"Northern Portfolio","08/27/26 12:13 pm","08/27/26 12:13 pm",,N/A,"Not Blocked", , ,Package,"Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,"Pending Inspection",0,Management,"Grajeda Raymundo"
